no,Name,trainer/epoch,val/acc,val/auc,val/cls_confmat_00,val/cls_confmat_01,val/cls_confmat_10,val/cls_confmat_11,val/dice,val/iou,val/multi,val/loss,architecture,lr_scheduler,calibration_method,State,Created,Runtime,Sweep,T_max,batch_size,alpha,beta,cal_auc_floor,cal_bootstraps,cal_ema_beta,cal_fallback,cal_init_threshold,cal_max_delta,cal_min_tp,cal_q_bounds,cal_rate_tolerance,cal_warmup_epochs,class_balance,cls_decision,cls_loss,cls_threshold,console_epoch_log,console_iter_log,debug,debug_transforms,dropout_rate,epochs,eta_min,factor,in_channels,input_shape,log_calibrated,lr,mlp_dim,multi_weight,num_classes,num_heads,num_layers,num_workers,optimizer,param_groups,patience,plateau_metric,plateau_mode,positive_index,run_cap,seed,task,threshold,two_pass_val,warmup_epochs,warmup_start_factor,weight_decay,plateau_threshold,head_keys,head_lr_scale,head_wd_scale,opt/lr,train/loss,train/lr,trainer/iteration,val/cal_thr,val/cls_confmat,val/gt_pos_rate,val/pos_rate,val/prec,val/recall,val/recall_0,val/recall_1,val/threshold,val/bal_acc,val/debug_pos_hist,val/debug_pos_max,val/debug_pos_median,val/debug_pos_min,val/debug_pos_q10,val/debug_pos_q90,val/debug_pos_rate@0.5,val/f1,val/search_threshold,val/score_mean,val/score_std,enable_decision_health,head_logits,health_iters_warmup,health_rate_gain,health_warmup,health_warmup_max_delta,init_head_bias_from_prior,init_threshold_from_prior,rate_tol_override,thr_hysteresis,thr_max,thr_min,thr_min_tn,thr_min_tp,thr_posrate_max,thr_posrate_min,thr_warmup_epochs,val/precision_macro,val/precision_pos,val/recall_macro,val/recall_pos,val/search_auc,val/search_confmat_00,val/search_confmat_01,val/search_confmat_10,val/search_confmat_11,val/search_pos_rate,seg_threshold,val/seg_confmat_00,val/seg_confmat_01,val/seg_confmat_10,val/seg_confmat_11,val/dice_0,val/dice_1,val/iou_0,val/iou_1,val/multi_0,val/multi_1
11,stellar-sweep-13,40,0.6092362344582590,0.631380873007605,223,108,112,120,,,,0.6804117626614040,vit,plateau,bal_acc,finished,2025-09-17T06:25:39.000Z,13116,pmrqwklq,40.0,32,,,0.55,,0.1,,,0.2,,,,,,threshold,bce,0.5,,,,,0.227751782825344,40,0.0,0.5,1,"[256,256]",,0.0001503702494885,3072.0,,2,6.0,8.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,2,0.2,1.0543609917E-05,0.0001,mlp_head,1.5,1.5,3.75925623721E-05,0.637041449546814,3.75925623721E-05,3280,,"[[223,108],[112,120]]",0.4120781527531080,,,,,,,0.5954786539077760,,,,,,,,,0.5,0.4957119822502140,0.1204230934381490,,1.0,,,,,TRUE,,0.1,0.03,0.95,0.05,0.0,5.0,0.95,0.05,5.0,0.5959937156323650,0.5263157894736840,0.5954786956974690,0.5172413793103450,0.631380873007605,223.0,108.0,112.0,120.0,0.4049733570159860,,,,,,,,,,,
12,laced-sweep-12,40,0.5879218472468920,0.6141915824565060,243,88,144,88,,,,0.6696839001443650,vit,plateau,bal_acc,finished,2025-09-17T02:23:58.000Z,14476,pmrqwklq,40.0,64,,,0.55,,0.3,,,0.1,,,,,,threshold,bce,0.5,,,,,0.2333113635925400,40,0.0,0.5,1,"[256,256]",,0.0003511763023393,3072.0,,2,6.0,10.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,3,0.1,1.082383739E-05,0.0001,mlp_head,1.5,1.5,0.0001755881511696,0.675521969795227,0.0001755881511696,1640,,"[[243,88],[144,88]]",0.4120781527531080,,,,,,,0.5567246675491330,,,,,,,,,0.5,0.4156658351421360,0.1510960459709170,,1.0,,,,,TRUE,,0.1,0.02,0.95,0.05,0.0,10.0,0.95,0.05,5.0,0.563953488372093,0.5,0.556724658818627,0.3793103448275860,0.6141915824565060,243.0,88.0,144.0,88.0,0.3126110124333930,,,,,,,,,,,
13,stilted-sweep-11,40,0.5381882770870340,0.6288545681841860,94,237,23,209,,,,0.6808549563090010,vit,plateau,bal_acc,finished,2025-09-16T22:27:59.000Z,14135,pmrqwklq,40.0,64,,,0.55,,0.2,,,0.2,,,,,,threshold,bce,0.4,,,,,0.2043673941380090,40,0.0,0.5,1,"[256,256]",,0.0002165963919842,3072.0,,2,8.0,8.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.1,2.17093631301E-05,0.0005,classifier,1.5,1.5,0.0001082981959921,0.6727296113967900,0.0001082981959921,1640,,"[[94,237],[23,209]]",0.4120781527531080,,,,,,,0.5924249887466430,,,,,,,,,0.4,0.501334547996521,0.117568626999855,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,0.0,0.0,0.95,0.05,5.0,0.6360143344448280,0.468609865470852,0.5924249921866860,0.9008620689655170,0.6288545681841860,94.0,237.0,23.0,209.0,0.7921847246891650,,,,,,,,,,,
14,denim-sweep-10,40,0.5754884547069270,0.6336206896551730,214,117,122,110,,,,0.6765464676751030,vit,warmcos,f1,finished,2025-09-16T18:20:55.000Z,14801,pmrqwklq,40.0,64,,,0.55,,0.1,,,0.1,,,,,,threshold,bce,0.5,,,,,0.2335383639348890,40,0.0,0.5,1,"[256,256]",,0.0003605021758091,2048.0,,2,8.0,12.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,2,0.1,3.67834585674E-05,0.0001,classifier,1.5,1.5,0.0,0.678849995136261,6.15648851293524E-07,1640,,"[[214,117],[122,110]]",0.4120781527531080,,,,,,,0.5603318214416500,,,,,,,,,0.5,0.4909221827983860,0.1116967946290970,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,0.0,5.0,0.95,0.05,5.0,0.5607431298510590,0.4845814977973570,0.5603318053963960,0.4741379310344830,0.6336206896551720,214.0,117.0,122.0,110.0,0.4031971580817050,,,,,,,,,,,
15,solar-sweep-9,40,0.6429840142095920,0.6977679966663190,211,120,81,151,,,,0.6236285236146720,vit,cosine,bal_acc,finished,2025-09-16T14:33:02.000Z,13623,pmrqwklq,40.0,32,,,0.5,,0.3,,,0.05,,,,,,threshold,bce,0.5,,,,,0.1809540194165270,40,0.0,0.3,1,"[256,256]",,0.0007351426572318,2048.0,,2,12.0,8.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,3.82935694866E-05,0.0005,classification_head,1.0,1.5,0.0,0.626673698425293,1.1330997353E-06,3280,,"[[211,120],[81,151]]",0.4120781527531080,,,,,,,0.6441621780395510,,,,,,,,,0.5,0.4490046799182890,0.199968472123146,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.6398991558408740,0.5571955719557200,0.644162152307532,0.6508620689655170,0.6977679966663200,211.0,120.0,81.0,151.0,0.4813499111900530,,,,,,,,,,,
16,honest-sweep-8,40,0.5950266429840140,0.6380221898114390,241,90,138,94,,,,0.6689062482780880,vit,cosine,f1,finished,2025-09-16T10:47:25.000Z,13514,pmrqwklq,40.0,32,,,0.55,,0.1,,,0.2,,,,,,threshold,bce,0.5,,,,,0.2059386879711640,40,0.0,0.3,1,"[256,256]",,0.0002390852761883,2048.0,,2,8.0,10.0,8,adamw,split,10.0,val/auc,max,,,,classification,,TRUE,0,0.1,2.97166692713E-05,0.0001,classifier,1.0,1.5,0.0,0.6996681690216060,3.68510057905829E-07,3280,,"[[241,90],[138,94]]",0.4120781527531080,,,,,,,0.5666345357894900,,,,,,,,,0.5,0.4633466005325320,0.1148317530751230,,1.0,,,,,TRUE,,0.1,0.02,0.95,0.05,0.0,5.0,0.95,0.05,5.0,0.573376735115292,0.5108695652173910,0.5666345452651320,0.4051724137931030,0.6380221898114390,241.0,90.0,138.0,94.0,0.3268206039076380,,,,,,,,,,,
17,giddy-sweep-7,40,0.6642984014209590,0.7362485675591210,234,97,92,140,,,,0.6102940754757990,vit,cosine,f1,finished,2025-09-16T07:01:13.000Z,13545,pmrqwklq,40.0,32,,,0.5,,0.2,,,0.1,,,,,,threshold,bce,0.5,,,,,0.2021818533345730,40,0.0,0.3,1,"[256,256]",,0.000352126234046,2048.0,,2,12.0,8.0,8,adamw,split,10.0,val/auc,max,,,,classification,,TRUE,0,0.1,1.12235386075E-05,0.0001,cls,1.5,1.5,0.0,0.5403653979301450,5.4274383168718E-07,3280,,"[[234,97],[92,140]]",0.4120781527531080,,,,,,,0.6551984548568730,,,,,,,,,0.5,0.4373576641082760,0.2733203768730160,,1.0,,,,,TRUE,,0.1,0.03,0.95,0.05,5.0,5.0,0.95,0.05,5.0,0.6542543553105020,0.5907172995780590,0.6551984581727260,0.603448275862069,0.7362485675591210,234.0,97.0,92.0,140.0,0.4209591474245120,,,,,,,,,,,
18,divine-sweep-6,40,0.5968028419182950,0.6220179185331810,283,48,179,53,,,,0.6748292379909090,vit,warmcos,f1,finished,2025-09-16T03:04:04.000Z,14207,pmrqwklq,40.0,64,,,0.55,,0.3,,,0.1,,,,,,threshold,bce,0.6,,,,,0.1972553620678820,40,0.0,0.3,1,"[256,256]",,0.0001254647344349,3072.0,,2,12.0,8.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,2,0.2,2.83554660587E-05,0.0001,mlp_head,1.5,1.5,0.0,0.7026147842407230,2.14262838939443E-07,1640,,"[[283,48],[179,53]]",0.4120781527531080,,,,,,,0.5417165756225590,,,,,,,,,0.6,0.4753492772579190,0.1135387942194940,,1.0,,,,,TRUE,,0.1,0.02,0.95,0.05,0.0,5.0,0.95,0.05,5.0,0.5686532939008190,0.5247524752475250,0.5417165850609440,0.2284482758620690,0.6220179185331810,283.0,48.0,179.0,53.0,0.1793960923623450,,,,,,,,,,,
19,deft-sweep-5,40,0.5808170515097690,0.6093733722262740,250,81,155,77,,,,0.6808183193206790,vit,warmcos,f1,finished,2025-09-15T23:19:25.000Z,13457,pmrqwklq,40.0,32,,,0.55,,0.3,,,0.1,,,,,,threshold,bce,0.5,,,,,0.2272726605643320,40,0.0,0.5,1,"[256,256]",,4.60825998633E-05,2048.0,,2,12.0,12.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,2,0.2,2.05611058949E-05,0.0001,cls,1.5,1.5,0.0,0.6837273240089420,7.86977210520071E-08,3280,,"[[250,81],[155,77]]",0.4120781527531080,,,,,,,0.5435917377471920,,,,,,,,,0.5,0.4636008143424990,0.1052941381931310,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,10.0,0.95,0.05,5.0,0.5523128613845910,0.4873417721518990,0.5435917803937910,0.3318965517241380,0.6093733722262740,250.0,81.0,155.0,77.0,0.280639431616341,,,,,,,,,,,
20,dulcet-sweep-4,40,0.6749555950266430,0.7441009480154180,223,108,75,157,,,,0.6700018776787650,vit,plateau,f1,finished,2025-09-15T19:11:43.000Z,14837,pmrqwklq,40.0,64,,,0.55,,0.2,,,0.1,,,,,,threshold,bce,0.6,,,,,0.2054781186456470,40,0.0,0.3,1,"[256,256]",,0.0001302562950864,3072.0,,2,12.0,12.0,8,adamw,auto,10.0,val/auc,max,,,,classification,,TRUE,0,0.2,1.75019215925E-05,0.0001,classifier,1.5,1.5,0.0001302562950864,0.4397603273391720,0.0001302562950864,1640,,"[[223,108],[75,157]]",0.4120781527531080,,,,,,,0.6752200722694400,,,,,,,,,0.6,0.4950204789638520,0.3328782320022580,,1.0,,,,,TRUE,,0.1,0.01,0.95,0.05,5.0,5.0,0.95,0.05,5.0,0.6703874889198430,0.5924528301886790,0.6752200750078130,0.6767241379310350,0.7441009480154180,223.0,108.0,75.0,157.0,0.4706927175843690,,,,,,,,,,,
