"Name","State","Created","Runtime","Sweep","alpha","base_learning_rate","batch_size","beta","dropout","epochs","input_shape","l2_reg","lr_multiplier","task","epoch","train_loss","val_acc","val_auc","val_dice","val_dice_c0","val_dice_c1","val_dice_manual","val_iou","val_iou_c0","val_iou_c1","val_iou_manual","val_loss","val_sens","val_spec"
"smart-sweep-34","finished","2025-07-23T12:48:58.000Z","6942","","2","0.0002","64","2","0.17807997493490488","40","[256,256]","0.0001336016010499153","1.136831817835358","multitask","37","","0.4724689165186501","0.4827065319304094","0.5866583498394358","0.5344765650738119","0.6388401346050595","0.5864571332931519","0.4170176195844435","0.3647001148778839","0.4693351242910032","","1.8936505224522648","",""
"quiet-sweep-33","finished","2025-07-23T11:20:10.000Z","5325","","0.5","0.0002","32","0.5","0.1702116350119348","40","[256,256]","0.00006459599095204425","1.1607238892342968","multitask","28","","0.47957371225577267","0.5080477133034691","0.6064271843115387","0.5976624032902487","0.6151919653328287","0.5639500021934509","0.4352167999512525","0.426190101935882","0.44424349796662305","","1.8537831823101687","",""
"lively-sweep-32","finished","2025-07-23T09:38:05.000Z","6099","","2","0.0002","32","0.5","0.15213593698823935","40","[256,256]","0.00010417317332591636","0.920954800193478","multitask","32","","0.4724689165186501","0.4774325450567768","0.5960058959866137","0.5494615889944819","0.6425502029787454","0.5891803503036499","0.4260746802784402","0.37879837226343654","0.4733509882934438","","1.7087055429895648","",""
"vital-sweep-31","finished","2025-07-23T08:16:15.000Z","4906","","1","0.0002","32","1","0.181440387866313","40","[256,256]","0.000011136545997110173","0.934880060446442","multitask","27","","0.458259325044405","0.4892306490259402","0.5985009442888366","0.5857772496317402","0.611224638945933","0.5598901510238647","0.4271610448594093","0.4142043744376233","0.44011771528119525","","1.9413123664381664","",""
"electric-sweep-30","finished","2025-07-23T06:19:05.000Z","7025","","2","0.0002","32","0.5","0.15925914757665424","40","[256,256]","0.00012583527257143225","0.9155907169168984","multitask","37","","0.4422735346358792","0.480349515574539","0.5848756718687651","0.5946600867823872","0.575091256955143","0.5174675583839417","0.4133709500976752","0.4231432418516288","0.4035986583437215","","1.8158923838532417","",""
"wise-sweep-29","finished","2025-07-23T04:58:33.000Z","4825","","1","0.0002","128","0.5","0.1716458552272988","40","[256,256]","0.00007762546602540161","1.074454933741308","multitask","26","","0.4920071047957371","0.5278674861964788","0.5658632450638198","0.4697881900410014","0.6619383000866382","0.607996940612793","0.4008539940083794","0.3070086029813018","0.494699385035457","","1.8689981734985568","",""
"visionary-sweep-28","finished","2025-07-23T03:10:19.000Z","6490","","1","0.0002","32","0.5","0.1791720555350631","40","[256,256]","0.00014178047501574423","0.9176721018661872","multitask","34","","0.4849023090586146","0.48520679237420566","0.6000060181228789","0.5702800676497453","0.6297319685960125","0.5769105553627014","0.42922191508287344","0.39887537044565535","0.4595684597200916","","1.775995772854685","",""
"gallant-sweep-27","finished","2025-07-23T01:43:10.000Z","5224","","1","0.0002","32","2","0.21796697806536364","40","[256,256]","0.000034479512263649705","0.9303404857970076","multitask","28","","0.45293072824156305","0.5047140327117408","0.6084751598836189","0.6081628463743624","0.6087874733928755","0.5577391386032104","0.43727229517451577","0.4369497141171588","0.4375948762318727","","1.6911061695159857","",""
"prime-sweep-26","finished","2025-07-22T23:50:34.000Z","6751","","0.5","0.0002","64","2","0.2236983147928216","40","[256,256]","0.00004371404602659319","0.864261301745059","multitask","36","","0.4422735346358792","0.4939577039274925","0.6026482677270232","0.5881595760684053","0.6171369593856411","0.5675819516181946","0.4314327566451265","0.4165906897824469","0.44627482350780606","","2.3943478192995116","",""
"vocal-sweep-25","finished","2025-07-22T21:49:16.000Z","7271","","1","0.0002","64","1","0.15750392763814944","40","[256,256]","0.0000846232476212875","0.8302793302588647","multitask","39","","0.4564831261101243","0.5033336805917282","0.6024027871086591","0.5805383374057198","0.6242672368115985","0.5727418065071106","0.4313777893233115","0.4089848656741448","0.45377071297247823","","2.1942665547291296","",""
"worthy-sweep-24","finished","2025-07-22T19:52:19.000Z","7012","","1","0.0002","16","2","0.1630299001411317","40","[256,256]","0.0001225732836241277","0.9232981030337528","multitask","38","","0.4724689165186501","0.502226794457756","0.5779732849093822","0.6076470497522314","0.5482995200665328","0.47505348920822144","0.4070560286221793","0.4364173966407733","0.37769466060358536","","1.6219783803285968","",""
"whole-sweep-23","finished","2025-07-22T18:45:32.000Z","4000","","1","0.0002","16","2","0.16007808250985212","40","[256,256]","0.0001259924298961562","0.9273313946978928","multitask","22","","0.4653641207815275","0.46582977393478486","0.6171103390921007","0.6176092703807922","0.6166114078034093","0.5665667057037354","0.4462471713211733","0.4467689612986036","0.445725381343743","","1.6510481351645758","",""
"neat-sweep-22","finished","2025-07-22T17:20:23.000Z","5105","","0.5","0.0002","128","0.5","0.1919485861452473","40","[256,256]","0.00008248766874408605","0.9698469038037156","multitask","27","","0.44404973357015987","0.5034378581102198","0.5554472719652334","0.46024435179067624","0.6506501921397905","0.5967758297920227","0.3905513691876095","0.2989073963300103","0.4821953420452087","","2.267225790616674","",""
"chocolate-sweep-21","finished","2025-07-22T15:12:49.000Z","7649","","1","0.0002","64","0.5","0.2419205311657039","40","[256,256]","0.00010553153263426596","1.1423938314080468","multitask","40","","0.4920071047957371","0.4811048025836024","0.5992899286128058","0.5774013902289493","0.6211784669966623","0.5686331391334534","0.42819599176360057","0.4058779379250727","0.4505140456021284","","1.870454994865675","",""
"treasured-sweep-20","finished","2025-07-22T13:47:21.000Z","5120","","1","0.0002","32","2","0.1595664682645579","40","[256,256]","0.00008147565407649673","0.9550106056785233","multitask","27","","0.44760213143872113","0.4785524533805605","0.5972318011915412","0.5723741544171064","0.6220894479659761","0.5706871747970581","0.4262001560908543","0.4009272851062797","0.45147302707542897","","1.9683289333092808","",""
