"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","filters","kernel_size","learning_rate","method","metric.goal","metric.name","optimizer","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.filterss","parameters.kernel_sizes","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","program","rotation","run_cap","translation","zoom","epoch/accuracy","epoch/auc","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/precision","epoch/recall","epoch/val_accuracy","epoch/val_auc","epoch/val_loss","epoch/val_precision","epoch/val_recall","val_final_accuracy","val_final_auc","val_final_loss","val_final_precision","val_final_recall"
"different-sweep-30","finished","-","","","2025-06-17T05:41:49.000Z","4654","p29s38uz","12","0.41201981299813795","20","32","3","0.0004413420438811006","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.0307896040279136","","0.03940054165295692","0.012199520639928374","0.6499999761581421","0.7135286927223206","19","0.0004413420392666012","0.5979310870170593","0.5846994519233704","0.5194174647331238","0.6537949442863464","0.7230703234672546","0.5881364941596985","0.5777778029441833","0.5889967679977417","0.6537949442863464","0.7230703234672546","0.588136613368988","0.5777778029441833","0.5889967679977417"
"glad-sweep-29","finished","-","","","2025-06-17T04:24:19.000Z","4645","p29s38uz","8","0.35247431391049394","20","32","5","0.00034688720762777965","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.04884216041724239","","0.1750722990457435","0.04802046484619713","0.6000000238418579","0.6264919638633728","19","0.000346887216437608","0.6551723480224609","0.5401785969734192","0.1957928836345673","0.5898801684379578","0.6886284351348877","0.6151464581489563","0.5041322112083435","0.1974110007286072","0.5898801684379578","0.6886284351348877","0.6151464581489563","0.5041322112083435","0.1974110007286072"
"swift-sweep-28","finished","-","","","2025-06-17T03:10:23.000Z","4428","p29s38uz","16","0.40118959358336226","20","16","3","0.0008835118489036859","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.09915540339455878","","0.18456720615291244","0.0544855995270515","0.5953333377838135","0.6145180463790894","18","0.0008835118496790528","0.6607485413551331","0.5283505320549011","0.16585759818553925","0.5778961181640625","0.6235703229904175","0.664630115032196","0.47826087474823","0.28478965163230896","0.5712383389472961","0.6252580881118774","0.6573843955993652","0.4480000138282776","0.18122977018356323"
"lively-sweep-27","finished","-","","","2025-06-17T02:15:30.000Z","3289","p29s38uz","16","0.2702203728684639","20","16","3","0.00008622167557506868","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.09099309451784804","","0.043274294950430094","0.014595589217236247","0.6113333106040955","0.6500217914581299","13","0.00008622167661087587","0.6445924043655396","0.5583333373069763","0.2710356116294861","0.5792276859283447","0.6320234537124634","0.6517356038093567","0.4810810685157776","0.2880258858203888","0.5885486006736755","0.6260232329368591","0.6507909893989563","0","0"
"smart-sweep-26","finished","-","","","2025-06-17T00:57:03.000Z","4700","p29s38uz","12","0.3032319757511996","20","64","3","0.0008913985496335913","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.02901837600727182","","0.17511200386533915","0.18269652545089943","0.5979999899864197","0.5881404280662537","19","0.0008913985220715404","0.6668769717216492","0.550000011920929","0.13349515199661255","0.5605858564376831","0.5992802381515503","0.6719231605529785","0.4686567187309265","0.508090615272522","0.5632489919662476","0.6235191226005554","0.6548912525177002","0.4144144058227539","0.14886730909347534"
"desert-sweep-25","finished","-","","","2025-06-16T23:39:12.000Z","4664","p29s38uz","12","0.47237242758133513","20","16","3","0.000016227295327684886","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.07449856631035416","","0.0901060277864746","0.031739277097915575","0.5876666903495789","0.6110436320304871","19","0.000016227295418502763","0.6603233814239502","0.49677419662475586","0.06229773536324501","0.59121173620224","0.6237131357192993","0.6585216522216797","1","0.006472492124885321","0.59121173620224","0.6237131357192993","0.6585217118263245","1","0.006472492124885321"
"misty-sweep-24","finished","-","","","2025-06-16T22:28:39.000Z","4228","p29s38uz","8","0.16722175777424353","20","32","3","0.00048169911927977734","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.1067954752709231","","0.03720932007331519","0.19270547172216596","0.6156666874885559","0.648854672908783","17","0.0004816991277039051","0.6463907361030579","0.5505481362342834","0.3656958043575287","0.6218375563621521","0.6600111126899719","0.6409456729888916","0.5409836173057556","0.5339806079864502","0.6271637678146362","0.6732818484306335","0.6352443695068359","0.5644444227218628","0.4110032320022583"
"distinctive-sweep-23","finished","-","","","2025-06-16T21:23:23.000Z","3907","p29s38uz","16","0.06317072370629967","20","64","3","0.0005598166611329098","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.02516494265792395","","0.043674857493118086","0.12187629402338954","0.6486666798591614","0.7067924737930298","16","0.0005598166608251631","0.6067298054695129","0.5803886651992798","0.5315533876419067","0.6205059885978699","0.6973048448562622","0.6109773516654968","0.5314136147499084","0.6569579243659973","0.6684420704841614","0.7249300479888916","0.5941781401634216","0.6041666865348816","0.5631067752838135"
"frosty-sweep-22","finished","-","","","2025-06-16T20:06:48.000Z","4590","p29s38uz","8","0.418715549564515","20","32","5","0.00015950267816696722","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.0010769647138936245","","0.1430448691216854","0.01361274059566977","0.628333330154419","0.6772773861885071","19","0.0001595026842551306","0.6239083409309387","0.5736905932426453","0.3810679614543915","0.6271637678146362","0.6776421070098877","0.6321881413459778","0.5367088317871094","0.6860841512680054","0.6271637678146362","0.6776421070098877","0.6321881413459778","0.5367088317871094","0.6860841512680054"
"resilient-sweep-21","finished","-","","","2025-06-16T19:12:42.000Z","3238","p29s38uz","16","0.22345888273766937","20","16","3","0.0009030701706470144","","","","Adam","","","","","","","","","","","","","","","","","","","","","0.16593532922052773","","0.16383094742055626","0.027266805293963726","0.5920000076293945","0.5969254970550537","13","0.000903070147614926","0.6646109223365784","0.5545454621315002","0.049352750182151794","0.5645805597305298","0.5725080370903015","0.6779550909996033","0.4181818068027496","0.14886730909347534","0.5872170329093933","0.5693889260292053","0.6695615649223328","0","0"
