"Name","val_accuracy","val_loss","val_auc","epoch","State","Created","Runtime","Sweep","ID","Group","Job Type","Hostname","batch_size","dropout","epochs","learning_rate","method","metric.goal","metric.name","optimizer","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.pretraineds","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.threshold.distribution","parameters.threshold.max","parameters.threshold.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","pretrained","program","rotation","run_cap","threshold","translation","zoom","arch","parameters.archs","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","weight_decay","train_loss","val_precision","val_recall"
"comfy-sweep-30","0.41145139813581894","0.1776495886913647","0.5449816222231985","7","finished","2025-07-10T19:03:34.000Z","519","5l1icxd5","ryn7be3g","","","x870e","32","0.49751972315593435","20","0.0006222488244010079","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.0567145882154732","","0.32866498058991966","0.009689629934526224","0.15929421948714162","DenseNet121","","","","","0.005333121601254004","0.17920580700723063","0.41145139813581894","1"
"worldly-sweep-29","0.5872170439414115","0.16755865060424327","0.5413353541565992","6","finished","2025-07-10T18:53:46.000Z","582","5l1icxd5","mfwyt3k8","","","x870e","8","0.45570070208982616","20","0.0004897167520708594","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","false","","0.1489141953369701","","0.6167437603965018","0.07132143253893895","0.05761691711477179","DenseNet169","","","","","0.005722935159230847","0.16857113109018482","0.3333333333333333","0.003236245954692557"
"pretty-sweep-28","0.5885486018641811","0.18274550380863663","0.5361807904640572","8","finished","2025-07-10T18:44:23.000Z","555","5l1icxd5","hzeodq1i","","","x870e","16","0.4224336369796245","20","0.00048638395417794375","","","","Adam","","","","","","","","","","","","","","","","","","","","","","","false","","0.07573535412262954","","0.6180066927767145","0.0170051409539306","0.0030117717602785588","DenseNet169","","","","","0.008546560184946934","0.17391168303696944","0","0"
"silvery-sweep-27","0.5885486018641811","0.16988060322997028","0.5","7","finished","2025-07-10T18:34:23.000Z","593","5l1icxd5","iyl29fai","","","x870e","8","0.2632234142120359","20","0.0007662728732861988","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","true","","0.12452462037267786","","0.6686718833334181","0.17406673055098276","0.019208268516121653","DenseNet169","","","","","0.004366473981327835","0.17008580438291676","0","0"
"lunar-sweep-26","0.5885486018641811","0.16678248649368715","0.5601231530700406","5","finished","2025-07-10T18:25:38.000Z","521","5l1icxd5","13fwdbwe","","","x870e","16","0.13609117315222263","20","0.0008933052648821503","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","true","","0.021470687304937508","","0.5803511459272592","0.07897479680590298","0.1943474581980592","DenseNet169","","","","","0.009755027088080155","0.1666594862078773","0","0"
"polished-sweep-25","0.4274300932090546","0.17381861420459502","0.5664345648640338","7","finished","2025-07-10T18:16:30.000Z","541","5l1icxd5","o3kzges0","","","x870e","16","0.3601141273831324","20","0.0009267557949384108","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.11422891040264144","","0.4019293817583739","0.1714850520402533","0.11819895232399186","DenseNet169","","","","","0.008166316141980932","0.17330539681756177","0.4176870748299319","0.9935275080906149"
"absurd-sweep-24","0.5885486018641811","0.16952691931814892","0.5","11","finished","2025-07-10T18:07:33.000Z","532","5l1icxd5","p1fj1qlr","","","x870e","16","0.35821772778565586","20","0.0009524282564841796","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","false","","0.030980912500186843","","0.6773262340744175","0.015024571398312104","0.028471759745946224","DenseNet121","","","","","0.007275815018608186","0.1689372103089864","0","0"
"ethereal-sweep-23","0.4194407456724368","0.17396565739346628","0.5372424548609586","9","finished","2025-07-10T17:58:03.000Z","565","5l1icxd5","uu2oz6jl","","","x870e","16","0.35334952801797326","20","0.0003813676716875216","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","false","","0.0016649439704889302","","0.4779817347469512","0.18127010930175555","0.07498868564084607","DenseNet169","","","","","0.009868579928100031","0.1695614945440489","0.4101838755304102","0.9385113268608414"
"lunar-sweep-22","0.5885486018641811","0.1805999757811331","0.5611921392903688","5","finished","2025-07-10T17:48:58.000Z","539","5l1icxd5","qgnbd38v","","","x870e","8","0.27056418827364687","20","0.00023615062871021965","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","true","","0.18100379995549765","","0.6029468847931961","0.07389907636783614","0.16157318484550368","DenseNet121","","","","","0.0022883397448199283","0.1748278401804478","0","0"
"stilted-sweep-21","0.41145139813581894","0.1852518798047742","0.429014921876144","6","finished","2025-07-10T17:39:59.000Z","534","5l1icxd5","9nxw7yfq","","","x870e","8","0.4340685970903199","20","0.00010072424055295796","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","false","","0.01858707056579621","","0.31867398201549935","0.1636429317489393","0.12371129961865396","DenseNet121","","","","","0.005886180586320629","0.18650228645425743","0.41145139813581894","1"
"mild-sweep-20","0.41145139813581894","0.19336054786734377","0.5200727789248635","5","finished","2025-07-10T17:31:19.000Z","515","5l1icxd5","jw2a3292","","","x870e","8","0.3859833518201216","20","0.00020654883115910912","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.18928899902589888","","0.40017202797918744","0.1264834878156227","0.04854320261435881","DenseNet121","","","","","0.004241570821364631","0.1825458613804855","0.4104979811574697","0.9870550161812298"
"proud-sweep-19","0.41145139813581894","0.16592897966764683","0.5681368888107894","7","finished","2025-07-10T17:22:41.000Z","511","5l1icxd5","r3yh1fqs","","","x870e","32","0.34763961944278904","20","0.0003397432414951885","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","true","","0.18582286979326057","","0.4778500223011334","0.10519105147910192","0.08623790416277728","DenseNet169","","","","","0.0034233464288075744","0.16983893114584428","0.41145139813581894","1"
"smart-sweep-18","0.5845539280958721","0.19323853171688576","0.5617522587825272","8","finished","2025-07-10T17:12:47.000Z","586","5l1icxd5","k72dyfbb","","","x870e","8","0.004130172807136123","20","0.00048815186845971537","","","","Adam","","","","","","","","","","","","","","","","","","","","","","","true","","0.11473752000994178","","0.6034862449173755","0.09224450487074971","0.05250013295316676","DenseNet169","","","","","0.008765993532374186","0.17588212255703167","0.4794520547945205","0.11326860841423948"
"charmed-sweep-17","0.41145139813581894","0.16274544295973398","0.5","8","finished","2025-07-10T17:02:22.000Z","620","5l1icxd5","xr0zstng","","","x870e","8","0.1918129105397829","20","0.0004088276313573262","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","false","","0.150846018669753","","0.4215368376163948","0.04422871001163997","0.15935210268451916","DenseNet169","","","","","0.007232872552377252","0.16251105256983003","0.41145139813581894","1"
"firm-sweep-16","0.4487350199733688","0.17872107120442193","0.5721455871370206","18","finished","2025-07-10T16:50:50.000Z","688","5l1icxd5","70ez8ueg","","","x870e","8","0.24170124321360809","20","0.0004358311305074957","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.039718249017668454","","0.4582357391612988","0.0402390474398574","0.048673415764457474","DenseNet121","","","","","0.0003081723893727306","0.17923732989294702","0.42081447963800905","0.9029126213592232"
"ruby-sweep-15","0.5885486018641811","0.17902850844278798","0.5123262897391967","9","finished","2025-07-10T16:41:58.000Z","526","5l1icxd5","d0hrfl5q","","","x870e","16","0.2098566267225191","20","0.0002950953396088006","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.16790833525506657","","0.6697193645332565","0.08545145044494772","0.08336958212565618","DenseNet169","","","","","0.0044583800792673016","0.17989630043715982","0","0"
"volcanic-sweep-14","0.41145139813581894","0.1832169845205339","0.5441981871165195","11","finished","2025-07-10T16:32:59.000Z","531","5l1icxd5","j8u9z1om","","","x870e","16","0.12358127456117796","20","0.0009652031623236551","","","","RMSprop","","","","","","","","","","","","","","","","","","","","","","","true","","0.1003087493829148","","0.32791173445905397","0.13903464443917607","0.022171047707592085","DenseNet121","","","","","0.004167218222549226","0.18060963248003845","0.41145139813581894","1"
"astral-sweep-13","0.5885486018641811","0.1840160324922248","0.5302061825477017","19","finished","2025-07-10T16:23:29.000Z","566","5l1icxd5","qvwwqpev","","","x870e","32","0.4425682003608002","20","0.00015413365339024055","","","","SGD","","","","","","","","","","","","","","","","","","","","","","","true","","0.10823678810875428","","0.6723397495197937","0.023193650102727205","0.007385070515280191","DenseNet121","","","","","0.003951101005888331","0.1820642586052824","0","0"
