task,epochs,l2_reg,dropout,batch_size,input_shape,learning_rate,best_epoch,best_val_loss,dice_coefficient,epoch,graph,iou_metric,loss,test_dice,test_iou,test_loss,val_dice_coefficient,val_iou_metric,val_loss,run_id,sweep,lr_multiplier,base_learning_rate,effective_learning_rate
segmentation,40,0.0004930450473430156,0.43085008913754663,4,"[256, 256, 1]",0.004742276748368307,11,1.1645463705062866,0.5359671115875244,21,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3704030811786651,1.1689671277999878,0.5400123000144958,0.37446150183677673,1.1605535745620728,0.5245428085327148,0.3595398962497711,1.1674381494522097,8a04ffb2,original,,,0.004742276748368307
segmentation,40,0.00029713392875611573,0.2906807952144621,8,"[256, 256, 1]",0.003651490431079123,4,1.1562886238098145,0.5442242622375488,14,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.37576499581336975,1.1596142053604126,0.5451443195343018,0.3767546415328979,1.1535013914108276,0.536752462387085,0.368650883436203,1.15705144405365,ylrlhbvv,original,,,0.003651490431079123
segmentation,40,2.1888111418288188e-05,0.13032281932176387,16,"[256, 256, 1]",0.0010637236601046438,37,1.1473060846328735,0.5478708744049072,39,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3784655034542084,1.150299906730652,0.5478740334510803,0.3781837522983551,1.1444400548934937,0.5393683910369873,0.37080392241477966,1.1474592685699463,uoyy2181,original,,,0.0010637236601046438
segmentation,40,0.0004231787163200308,0.22701833527218587,16,"[256, 256, 1]",0.006623324786943958,25,1.155289649963379,0.5451350808143616,35,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3758145272731781,1.1591565608978271,0.549243688583374,0.3795144557952881,1.1514545679092407,0.5380561947822571,0.3695822954177856,1.1558115482330322,ki908uk6,original,,,0.006623324786943958
segmentation,40,1.05022960010674e-05,0.10210106095911615,8,"[256, 256, 1]",0.005528791093413319,7,1.1527057886123655,0.5454679131507874,17,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3770817220211029,1.1564476490020752,0.551219642162323,0.3826135993003845,1.1503238677978516,0.5289613008499146,0.3612663149833679,1.1558901071548462,sk0jmmmq,original,,,0.005528791093413319
segmentation,40,0.0009099283689410952,0.4542696537847466,4,"[256, 256, 1]",0.00803282367832354,3,1.1656452417373655,0.5321594476699829,13,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3676208257675171,1.1730451583862305,0.5414460897445679,0.3759048581123352,1.1601641178131104,0.5222188234329224,0.35744431614875793,1.1705620288848877,va9u60p0,original,,,0.00803282367832354
segmentation,40,0.00035559031456853813,0.4419184140880543,4,"[256, 256, 1]",0.007342526993129956,10,1.183634877204895,0.5261452198028564,20,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3613525629043579,1.186926007270813,0.5336527228355408,0.3684898614883423,1.1777347326278689,0.5243119597434998,0.35970956087112427,1.1838762760162354,jkwq8a9p,original,,,0.007342526993129956
segmentation,40,0.000411372834385842,0.399541323592723,8,"[256, 256, 1]",0.00500944061807107,25,1.1580357551574707,0.5412651300430298,35,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.37330904603004456,1.1625338792800903,0.5466589331626892,0.3782109022140503,1.1549787521362305,0.5262507200241089,0.3587752878665924,1.1628055572509766,agfp8tp5,original,,,0.00500944061807107
segmentation,40,0.000912767620730848,0.40858820823703745,16,"[256, 256, 1]",0.0012652884861437202,37,1.1538046598434448,0.5448791980743408,39,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.3754701614379883,1.156734824180603,0.5514659285545349,0.38164976239204407,1.1503376960754397,0.5427734851837158,0.37405791878700256,1.154008865356445,y6v5ztrf,original,,,0.0012652884861437202
segmentation,40,2.3725495102423662e-05,0.24188584512491695,16,"[256, 256, 1]",0.0008867540186942465,36,1.1484850645065308,0.54668790102005,39,"{'_type': 'graph-file', 'path': 'media/graph/graph_summary_04aa95494d9f13eb74e1.graph.json', 'sha256': '04aa95494d9f13eb74e1f6bd045db1d07d0c238552842e162da4f2bd050ed4d4', 'size': 5116}",0.377266526222229,1.1517261266708374,0.556487500667572,0.3864857256412506,1.145186185836792,0.5478864908218384,0.3789299428462982,1.1485353708267212,kay3wkyz,original,,,0.0008867540186942465
