"Name","val_dice_coefficient","val_iou_metric","val_loss","State","Created","Runtime","Sweep","base_learning_rate","batch_size","dropout","epochs","input_shape","l2_reg","lr_multiplier","method","metric.goal","metric.name","parameters.base_learning_rate","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.input_shape","parameters.l2_reg.distribution","parameters.l2_reg.max","parameters.l2_reg.min","parameters.lr_multiplier.distribution","parameters.lr_multiplier.max","parameters.lr_multiplier.min","parameters.task","program","task","best_epoch","best_val_loss","dice_coefficient","epoch","iou_metric","loss","test_dice","test_iou","test_loss"
"peachy-sweep-261","0.5653231739997864","0.3945644497871399","1.1040234565734863","finished","2025-07-06T09:15:34.000Z","1303","l6eaiduh","0.0002","32","0.1716117788310643","40","[256,256,1]","0.00005279844582791476","0.8905727856912716","","","","","","","","","","","","","","","","","","","segmentation","35","1.103296995162964","0.5666411519050598","39","0.39581727981567383","1.1141959428787231","0.5668655037879944","0.3960142135620117","1.1028741598129272"
"icy-sweep-260","0.5457342863082886","0.37545326352119446","1.1485533714294434","finished","2025-07-06T08:54:23.000Z","1263","l6eaiduh","0.0002","128","0.23240560747970265","40","[256,256,1]","0.00006301656707489885","1.143007462611223","","","","","","","","","","","","","","","","","","","segmentation","34","1.1483378410339355","0.5504220128059387","39","0.3798215389251709","1.1501634120941162","0.5485159754753113","0.3779135048389435","1.144602656364441"
"sandy-sweep-259","0.5649697184562683","0.3942013680934906","1.1030696630477903","finished","2025-07-06T08:31:47.000Z","1351","l6eaiduh","0.0002","32","0.16414580146973176","40","[256,256,1]","0.00003767613382967287","1.1576033833549573","","","","","","","","","","","","","","","","","","","segmentation","39","1.1030696630477903","0.56756192445755","39","0.39678624272346497","1.111701488494873","0.5665708184242249","0.3957170248031616","1.1014662981033323"
"wobbly-sweep-258","0.5396060943603516","0.3697185516357422","1.1424890756607056","finished","2025-07-06T08:09:01.000Z","1360","l6eaiduh","0.0002","64","0.2037401170411149","40","[256,256,1]","0.00006519035651425607","0.9681868093990584","","","","","","","","","","","","","","","","","","","segmentation","36","1.137899398803711","0.5552895069122314","39","0.38475996255874634","1.1425789594650269","0.5414441227912903","0.3714393377304077","1.1410599946975708"
"good-sweep-257","0.5481157302856445","0.3777009546756744","1.1411526203155518","finished","2025-07-06T07:47:13.000Z","1302","l6eaiduh","0.0002","128","0.1874495808985421","40","[256,256,1]","0.00005118479730450198","0.9472924334819668","","","","","","","","","","","","","","","","","","","segmentation","34","1.1404099464416504","0.5520418882369995","39","0.3814136385917664","1.1435354948043823","0.5503787994384766","0.37968555092811584","1.1384943723678589"
"devoted-sweep-256","0.5635169148445129","0.3925107717514038","1.1000910997390747","finished","2025-07-06T07:26:16.000Z","1251","l6eaiduh","0.0002","64","0.2122695627410141","40","[256,256,1]","0.000029597764093092463","0.9891476614518389","","","","","","","","","","","","","","","","","","","segmentation","28","1.0967738628387451","0.5727258324623108","38","0.4015919864177704","1.1041256189346311","0.577491283416748","0.4062625169754028","1.0933552980422974"
"ethereal-sweep-255","0.5506724119186401","0.3803998827934265","1.1065285205841064","finished","2025-07-06T07:06:11.000Z","1199","l6eaiduh","0.0002","32","0.2183226880724034","40","[256,256,1]","0.00001587636881982041","1.1649376286547577","","","","","","","","","","","","","","","","","","","segmentation","34","1.0957926511764526","0.5715197920799255","39","0.40082865953445435","1.1034151315689087","0.5521136522293091","0.3817383050918579","1.1040902137756348"
"lemon-sweep-254","0.5590195059776306","0.3895470201969147","1.098103642463684","finished","2025-07-06T06:48:11.000Z","1075","l6eaiduh","0.0002","16","0.19829979922867275","40","[256,256,1]","0.000012918248506797675","0.8213104740929666","","","","","","","","","","","","","","","","","","","segmentation","38","1.0924830436706543","0.5754073262214661","39","0.4048832356929779","1.0966825485229492","0.5671136379241943","0.3966537117958069","1.0916377305984497"
"drawn-sweep-253","0.5655781626701355","0.39601680636405945","1.103260517120361","finished","2025-07-06T06:29:03.000Z","1144","l6eaiduh","0.0002","16","0.22003164231788136","40","[256,256,1]","0.0001355246039835201","1.0500812325875606","","","","","","","","","","","","","","","","","","","segmentation","39","1.103260517120361","0.568392276763916","39","0.3983033299446106","1.1120030879974363","0.5732145309448242","0.40269365906715393","1.100527286529541"
"eager-sweep-252","0.5840886831283569","0.4131389856338501","1.0967564582824707","finished","2025-07-06T06:09:33.000Z","1163","l6eaiduh","0.0002","32","0.21910041147168177","40","[256,256,1]","0.000010438620653665536","1.1195583277853205","","","","","","","","","","","","","","","","","","","segmentation","25","1.0959135293960571","0.5686180591583252","35","0.3981107771396637","1.106813669204712","0.5780342221260071","0.40702927112579346","1.0931388139724731"
"polished-sweep-251","0.5485259890556335","0.3795194029808045","1.1393733024597168","finished","2025-07-06T05:44:58.000Z","1470","l6eaiduh","0.0002","16","0.16652316891768365","40","[256,256,1]","0.00012958675320077055","1.1214243646874258","","","","","","","","","","","","","","","","","","","segmentation","39","1.1393733024597168","0.5523368120193481","39","0.3827960193157196","1.1444897651672363","0.55692458152771","0.3868826627731323","1.1367586851119995"
"dulcet-sweep-250","0.5538052320480347","0.3835023641586304","1.140443205833435","finished","2025-07-06T05:23:26.000Z","1284","l6eaiduh","0.0002","32","0.21600467310522645","40","[256,256,1]","0.00013892546902302623","1.0707429694419883","","","","","","","","","","","","","","","","","","","segmentation","39","1.140443205833435","0.551335334777832","39","0.3810842037200928","1.1439379453659058","0.5562961101531982","0.3857726454734802","1.137186884880066"
"chocolate-sweep-249","0.5610871911048889","0.3915483057498932","1.100602388381958","finished","2025-07-06T05:02:08.000Z","1275","l6eaiduh","0.0002","16","0.23912439096735988","40","[256,256,1]","0.00005704230276250906","1.1384286614661965","","","","","","","","","","","","","","","","","","","segmentation","37","1.1000388860702517","0.5715057849884033","39","0.40142932534217834","1.1059112548828125","0.5681507587432861","0.39765819907188416","1.0986123085021973"
"atomic-sweep-248","0.5718164443969727","0.4006287157535553","1.097609519958496","finished","2025-07-06T04:39:03.000Z","1381","l6eaiduh","0.0002","64","0.204748156119598","40","[256,256,1]","0.00004220880425144063","0.9120952862177588","","","","","","","","","","","","","","","","","","","segmentation","39","1.097609519958496","0.5705786347389221","39","0.3995244204998016","1.1063077449798584","0.5723220705986023","0.401166707277298","1.096174955368042"
"hearty-sweep-247","0.5510307550430298","0.3804860711097718","1.141972303390503","finished","2025-07-06T04:17:48.000Z","1268","l6eaiduh","0.0002","128","0.1692220857260294","40","[256,256,1]","0.00005803559935161239","0.911522875805124","","","","","","","","","","","","","","","","","","","segmentation","39","1.141972303390503","0.551644504070282","39","0.3810262680053711","1.1443381309509275","0.5536790490150452","0.38283735513687134","1.1381268501281738"
"divine-sweep-246","0.5649957060813904","0.3942350149154663","1.1038570404052734","finished","2025-07-06T04:00:03.000Z","1060","l6eaiduh","0.0002","32","0.219738280429027","40","[256,256,1]","0.000029397469157822973","0.9931504634942642","","","","","","","","","","","","","","","","","","","segmentation","25","1.1018455028533936","0.568078339099884","35","0.3973973095417022","1.1118985414505005","0.5733350515365601","0.40236037969589233","1.0999127626419067"
