"Name","val_auc","val_acc","val_dice","val_iou","val_loss","epoch","val_cls_confmat_00","val_cls_confmat_01","val_cls_confmat_10","val_cls_confmat_11","task","State","Created","Runtime","Sweep","alpha","base_learning_rate","batch_size","beta","dropout","epochs","input_shape","l2_reg","lr_multiplier","method","metric.goal","metric.name","model_name","num_workers","parameters.alphas","parameters.base_learning_rate","parameters.batch_sizes","parameters.betas","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.input_shape","parameters.l2_reg.distribution","parameters.l2_reg.max","parameters.l2_reg.min","parameters.lr_multiplier.distribution","parameters.lr_multiplier.max","parameters.lr_multiplier.min","parameters.model_name","parameters.num_workers","parameters.task","program","parameters.run_cap","run_cap","val_dice_manual","val_cls_confmat"
"unique-sweep-4","0.4189368684237942","0.44760213143872113","0.590243388361537","0.4200619016922683","1.2308982727159192","25","172","159","152","80","multitask","finished","2025-07-26T22:00:09.000Z","9651","m9g84xiu","2","0.0002","64","1","0.2199420348638836","40","[256,256]","0.00009744965842871037","0.9357608732082268","","","","multitask_unet","16","","","","","","","","","","","","","","","","","","","","","20","0.6173154549130617","[[172,159],[152,80]]"
"dandy-sweep-3","0.5161214709865611","0.5079928952042628","0.5961541988746613","0.42517273590442217","2.0117887832343473","39","142","189","88","144","multitask","finished","2025-07-26T17:46:42.000Z","15196","m9g84xiu","2","0.0002","64","1","0.2117936662503293","40","[256,256]","0.00009990758315790484","0.9839891764240551","","","","multitask_unet","16","","","","","","","","","","","","","","","","","","","","","20","0.6178937131145285","[[142,189],[88,144]]"
"copper-sweep-2","0.4856495468277946","0.44582593250444047","0.6034386431748096","0.4320896245620238","1.6467377305242563","18","96","235","77","155","multitask","finished","2025-07-26T16:09:09.000Z","5827","m9g84xiu","0.5","0.0002","16","1","0.1923935090308181","40","[256,256]","0.00008303577825070309","1.1361581799759457","","","","multitask_unet","16","","","","","","","","","","","","","","","","","","","","","20","0.6187990964621928","[[96,235],[77,155]]"
"flowing-sweep-1","0.4824070215647463","0.477797513321492","0.5939259978197661","0.42273430821162217","2.137615522313499","34","143","188","106","126","multitask","finished","2025-07-26T12:27:26.000Z","13281","m9g84xiu","1","0.0002","64","2","0.22244528624727725","40","[256,256]","0.00007180824411295816","1.122330123331228","","","","multitask_unet","16","","","","","","","","","","","","","","","","","","","","","20","0.6174409932198026","[[143,188],[106,126]]"
