"Name","State","Created","Runtime","Sweep","batch_size","dropout","epochs","input_shape","l2_reg","learning_rate","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.input_shape","parameters.l2_reg.distribution","parameters.l2_reg.max","parameters.l2_reg.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.task","program","task","best_epoch","best_val_loss","dice_coefficient","epoch","iou_metric","loss","test_dice","test_iou","test_loss","val_dice_coefficient","val_iou_metric","val_loss"
"crimson-sweep-470","finished","2025-06-25T22:23:00.000Z","785","1jpj8b17","4","0.43085008913754663","40","[256,256,1]","0.0004930450473430156","0.004742276748368307","","","","","","","","","","","","","","","","","","segmentation","11","1.1645463705062866","0.5359671115875244","21","0.3704030811786651","1.1689671277999878","0.5400123000144958","0.37446150183677673","1.1605535745620728","0.5245428085327148","0.3595398962497711","1.1674381494522097"
"hearty-sweep-469","finished","2025-06-25T22:10:43.000Z","732","1jpj8b17","8","0.2906807952144621","40","[256,256,1]","0.00029713392875611573","0.003651490431079123","","","","","","","","","","","","","","","","","","segmentation","4","1.1562886238098145","0.5442242622375488","14","0.37576499581336975","1.1596142053604126","0.5451443195343018","0.3767546415328979","1.1535013914108276","0.536752462387085","0.368650883436203","1.15705144405365"
"sandy-sweep-468","finished","2025-06-25T21:53:26.000Z","1032","1jpj8b17","16","0.13032281932176387","40","[256,256,1]","0.000021888111418288188","0.0010637236601046438","","","","","","","","","","","","","","","","","","segmentation","37","1.1473060846328735","0.5478708744049072","39","0.3784655034542084","1.150299906730652","0.5478740334510803","0.3781837522983551","1.1444400548934937","0.5393683910369873","0.37080392241477966","1.1474592685699463"
"true-sweep-467","finished","2025-06-25T21:36:12.000Z","1030","1jpj8b17","16","0.22701833527218587","40","[256,256,1]","0.0004231787163200308","0.006623324786943958","","","","","","","","","","","","","","","","","","segmentation","25","1.155289649963379","0.5451350808143616","35","0.3758145272731781","1.1591565608978271","0.549243688583374","0.3795144557952881","1.1514545679092407","0.5380561947822571","0.3695822954177856","1.1558115482330322"
"morning-sweep-466","finished","2025-06-25T21:21:40.000Z","865","1jpj8b17","8","0.10210106095911615","40","[256,256,1]","0.0000105022960010674","0.005528791093413319","","","","","","","","","","","","","","","","","","segmentation","7","1.1527057886123655","0.5454679131507874","17","0.3770817220211029","1.1564476490020752","0.551219642162323","0.3826135993003845","1.1503238677978516","0.5289613008499146","0.3612663149833679","1.1558901071548462"
"lemon-sweep-465","finished","2025-06-25T21:10:26.000Z","669","1jpj8b17","4","0.4542696537847466","40","[256,256,1]","0.0009099283689410952","0.00803282367832354","","","","","","","","","","","","","","","","","","segmentation","3","1.1656452417373655","0.5321594476699829","13","0.3676208257675171","1.1730451583862305","0.5414460897445679","0.3759048581123352","1.1601641178131104","0.5222188234329224","0.35744431614875793","1.1705620288848877"
"soft-sweep-464","finished","2025-06-25T20:58:10.000Z","731","1jpj8b17","4","0.4419184140880543","40","[256,256,1]","0.00035559031456853813","0.007342526993129956","","","","","","","","","","","","","","","","","","segmentation","10","1.183634877204895","0.5261452198028564","20","0.3613525629043579","1.186926007270813","0.5336527228355408","0.3684898614883423","1.1777347326278689","0.5243119597434998","0.35970956087112427","1.1838762760162354"
"lyric-sweep-463","finished","2025-06-25T20:43:46.000Z","858","1jpj8b17","8","0.399541323592723","40","[256,256,1]","0.000411372834385842","0.00500944061807107","","","","","","","","","","","","","","","","","","segmentation","25","1.1580357551574707","0.5412651300430298","35","0.37330904603004456","1.1625338792800903","0.5466589331626892","0.3782109022140503","1.1549787521362305","0.5262507200241089","0.3587752878665924","1.1628055572509766"
"sage-sweep-462","finished","2025-06-25T20:28:43.000Z","896","1jpj8b17","16","0.40858820823703745","40","[256,256,1]","0.000912767620730848","0.0012652884861437202","","","","","","","","","","","","","","","","","","segmentation","37","1.1538046598434448","0.5448791980743408","39","0.3754701614379883","1.156734824180603","0.5514659285545349","0.38164976239204407","1.1503376960754397","0.5427734851837158","0.37405791878700256","1.154008865356445"
"classic-sweep-461","finished","2025-06-25T20:12:26.000Z","972","1jpj8b17","16","0.24188584512491695","40","[256,256,1]","0.000023725495102423662","0.0008867540186942465","","","","","","","","","","","","","","","","","","segmentation","36","1.1484850645065308","0.54668790102005","39","0.377266526222229","1.1517261266708374","0.556487500667572","0.3864857256412506","1.145186185836792","0.5478864908218384","0.3789299428462982","1.1485353708267212"
"lucky-sweep-460","finished","2025-06-25T19:57:40.000Z","883","1jpj8b17","8","0.3911920628264166","40","[256,256,1]","0.0004461929092425354","0.0006369318173292866","","","","","","","","","","","","","","","","","","segmentation","29","1.1537482738494873","0.5431922078132629","39","0.3751542270183563","1.1578320264816284","0.5469701886177063","0.378500759601593","1.1514956951141355","0.5375693440437317","0.3693907856941223","1.1543127298355105"
"bumbling-sweep-459","finished","2025-06-25T19:44:32.000Z","783","1jpj8b17","8","0.3217634539559313","40","[256,256,1]","0.0005630957767219415","0.0069262162056493645","","","","","","","","","","","","","","","","","","segmentation","15","1.1582013368606567","0.5393320322036743","25","0.3716723322868347","1.1636372804641724","0.5475424528121948","0.3790619671344757","1.1551014184951782","0.5454577803611755","0.3769712448120117","1.1593637466430664"
"cool-sweep-458","finished","2025-06-25T19:29:41.000Z","888","1jpj8b17","4","0.2559995297649107","40","[256,256,1]","0.0006461351127519893","0.0007770460959568337","","","","","","","","","","","","","","","","","","segmentation","39","1.1614251136779783","0.5365328192710876","39","0.37124502658843994","1.1649237871170044","0.542921781539917","0.37728601694107056","1.1578081846237185","0.5400872826576233","0.37447184324264526","1.1614251136779783"
"glorious-sweep-457","finished","2025-06-25T19:15:49.000Z","826","1jpj8b17","16","0.34931662657025453","40","[256,256,1]","0.0009139707237348044","0.001005364244274008","","","","","","","","","","","","","","","","","","segmentation","18","1.155190110206604","0.5441249012947083","28","0.37473317980766296","1.1580417156219482","0.5508472919464111","0.38105472922325134","1.1510308980941772","0.5340586304664612","0.3658113181591034","1.1560344696044922"
"laced-sweep-456","finished","2025-06-25T19:03:19.000Z","745","1jpj8b17","4","0.4852896839892247","40","[256,256,1]","0.0005873654661939355","0.0052220780843913","","","","","","","","","","","","","","","","","","segmentation","12","1.165413498878479","0.5358454585075378","22","0.37031930685043335","1.16871440410614","0.539700448513031","0.3741315007209778","1.1624270677566528","0.5290489196777344","0.36382800340652466","1.1667498350143433"
"deep-sweep-455","finished","2025-06-25T18:50:40.000Z","753","1jpj8b17","16","0.312766672996983","40","[256,256,1]","0.000858262193120989","0.008723656726964702","","","","","","","","","","","","","","","","","","segmentation","10","1.1567283868789673","0.5439403653144836","20","0.37489092350006104","1.1604998111724854","0.5497444868087769","0.3799987733364105","1.1521965265274048","0.5287056565284729","0.36078426241874695","1.1589288711547852"
"eager-sweep-454","finished","2025-06-25T18:38:34.000Z","718","1jpj8b17","4","0.3409601514220171","40","[256,256,1]","0.0007982544887217361","0.006306141577119686","","","","","","","","","","","","","","","","","","segmentation","7","1.1657332181930542","0.5329387187957764","17","0.3682398796081543","1.1716941595077517","0.5422133803367615","0.37665536999702454","1.1600557565689087","0.5295781493186951","0.3644275367259979","1.166859745979309"
"comic-sweep-453","finished","2025-06-25T18:23:44.000Z","885","1jpj8b17","4","0.1567688916500541","40","[256,256,1]","0.00031401555664346836","0.00905466272863589","","","","","","","","","","","","","","","","","","segmentation","33","1.1836297512054443","0.5259882211685181","39","0.361426442861557","1.1872953176498413","0.5253106951713562","0.3604660928249359","1.1791590452194214","0.5209293961524963","0.35648056864738464","1.1844544410705566"
"clear-sweep-452","finished","2025-06-25T18:10:52.000Z","766","1jpj8b17","16","0.2518325366785298","40","[256,256,1]","0.0004197691957861002","0.003990669460657273","","","","","","","","","","","","","","","","","","segmentation","12","1.153287053108215","0.5436326265335083","22","0.3743874728679657","1.1600230932235718","0.5514087080955505","0.3815973997116089","1.1501470804214478","0.5415010452270508","0.3728539645671845","1.1552395820617676"
"sandy-sweep-451","finished","2025-06-25T17:55:47.000Z","902","1jpj8b17","16","0.1296603900805768","40","[256,256,1]","0.0002374728061145262","0.0014319904224755395","","","","","","","","","","","","","","","","","","segmentation","22","1.1514561176300049","0.5443482995033264","32","0.3753490447998047","1.1561529636383057","0.5509182214736938","0.3811218440532684","1.1482477188110352","0.5324057936668396","0.36424198746681213","1.1537154912948608"
"radiant-sweep-450","finished","2025-06-25T17:43:48.000Z","715","1jpj8b17","8","0.21576142456852015","40","[256,256,1]","0.0001311744459733948","0.00876375101042865","","","","","","","","","","","","","","","","","","segmentation","7","1.1568572521209717","0.538544774055481","17","0.3708226680755615","1.1641273498535156","0.5439220070838928","0.3755724728107453","1.1544803380966189","0.5057132840156555","0.3399643898010254","1.1889276504516602"
"sandy-sweep-449","finished","2025-06-25T17:31:26.000Z","736","1jpj8b17","8","0.169927124555812","40","[256,256,1]","0.0006827687172753194","0.007369891055825794","","","","","","","","","","","","","","","","","","segmentation","6","1.158511519432068","0.54068523645401","16","0.3725151121616363","1.1632702350616455","0.5442762970924377","0.3759185373783112","1.155441164970398","0.53296959400177","0.365070641040802","1.159977674484253"
"glamorous-sweep-448","finished","2025-06-25T17:19:23.000Z","717","1jpj8b17","4","0.44060607855657663","40","[256,256,1]","0.000038339686380045845","0.004086197734878785","","","","","","","","","","","","","","","","","","segmentation","11","1.159648895263672","0.525248110294342","21","0.3609073460102082","1.1875861883163452","0.5398989915847778","0.37429988384246826","1.1568973064422607","0.5255488753318787","0.3608948588371277","1.1837944984436035"
"morning-sweep-447","finished","2025-06-25T17:06:27.000Z","773","1jpj8b17","16","0.39809483593111794","40","[256,256,1]","0.0006345771909147623","0.007792365618254188","","","","","","","","","","","","","","","","","","segmentation","11","1.1551225185394287","0.5425682067871094","21","0.37341758608818054","1.1623908281326294","0.5471753478050232","0.3775366544723511","1.1520148515701294","0.532738208770752","0.3645462691783905","1.1625564098358154"
"rich-sweep-446","finished","2025-06-25T16:54:01.000Z","741","1jpj8b17","4","0.37484352669299825","40","[256,256,1]","0.000936509847925982","0.0069300033336642105","","","","","","","","","","","","","","","","","","segmentation","11","1.1837306022644043","0.5248966217041016","21","0.36075595021247864","1.1877460479736328","0.5302762389183044","0.3652297854423523","1.1780797243118286","0.5245671272277832","0.3599536716938019","1.1838514804840088"
"expert-sweep-445","finished","2025-06-25T16:42:25.000Z","693","1jpj8b17","8","0.2842343982608514","40","[256,256,1]","0.0008944880362020995","0.009322105720524124","","","","","","","","","","","","","","","","","","segmentation","3","1.1595275402069092","0.5319252014160156","13","0.3644905686378479","1.18142569065094","0.5411254167556763","0.37291219830513","1.155996561050415","0.5291311740875244","0.36163464188575745","1.1774096488952637"
"glamorous-sweep-444","finished","2025-06-25T16:30:42.000Z","700","1jpj8b17","4","0.4019908033540541","40","[256,256,1]","0.000588892468474111","0.005924425458478772","","","","","","","","","","","","","","","","","","segmentation","4","1.164772629737854","0.5274193286895752","14","0.3630751073360443","1.1795597076416016","0.5429050922393799","0.3773010075092316","1.160217046737671","0.5127438306808472","0.3487383723258972","1.1881048679351809"
"confused-sweep-443","finished","2025-06-25T16:15:09.000Z","926","1jpj8b17","16","0.12936261388418374","40","[256,256,1]","0.0001958558792481886","0.0016070617650908456","","","","","","","","","","","","","","","","","","segmentation","30","1.1506747007369995","0.5460149049758911","39","0.37676921486854553","1.154388189315796","0.5423218011856079","0.37290599942207336","1.1498751640319824","0.5338852405548096","0.36562830209732056","1.1524807214736938"
"dazzling-sweep-442","finished","2025-06-25T16:03:09.000Z","715","1jpj8b17","8","0.12655349653091658","40","[256,256,1]","0.0005349232198899418","0.006239621070999665","","","","","","","","","","","","","","","","","","segmentation","5","1.177148699760437","0.5323938727378845","15","0.36480557918548584","1.1810181140899658","0.5368388295173645","0.3689436912536621","1.1726353168487549","0.5285385251045227","0.36107704043388367","1.1774612665176392"
"fiery-sweep-441","finished","2025-06-25T15:49:17.000Z","827","1jpj8b17","16","0.34490488480211656","40","[256,256,1]","0.0004425957528602857","0.009635031572481929","","","","","","","","","","","","","","","","","","segmentation","19","1.1556109189987185","0.5435243844985962","29","0.37437283992767334","1.1601178646087646","0.5489721298217773","0.3792574405670166","1.1518975496292114","0.537585973739624","0.3691428303718567","1.1559183597564695"
"faithful-sweep-440","finished","2025-06-25T15:35:47.000Z","805","1jpj8b17","16","0.3875196817134321","40","[256,256,1]","0.000491864782516969","0.0032779203860419585","","","","","","","","","","","","","","","","","","segmentation","14","1.1531652212142944","0.5452906489372253","24","0.3762193024158478","1.157382845878601","0.5511571168899536","0.3813536465167999","1.1499778032302856","0.5359747409820557","0.36760908365249634","1.1543374061584473"
"cosmic-sweep-439","finished","2025-06-25T15:23:40.000Z","721","1jpj8b17","4","0.2833401903100077","40","[256,256,1]","0.00005132496080240738","0.008167315182643601","","","","","","","","","","","","","","","","","","segmentation","6","1.1616365909576416","0.524764895439148","16","0.3608846366405487","1.1888340711593628","0.5420077443122864","0.3763408958911896","1.159829020500183","0.522347629070282","0.35783255100250244","1.184218168258667"
"fluent-sweep-438","finished","2025-06-25T15:10:38.000Z","776","1jpj8b17","16","0.3766214955589702","40","[256,256,1]","0.000903862707718573","0.008273981395235382","","","","","","","","","","","","","","","","","","segmentation","14","1.157444715499878","0.5424500703811646","24","0.373540312051773","1.1620811223983765","0.5446974039077759","0.3751696646213531","1.1533013582229614","0.5385766625404358","0.3700717687606811","1.1576030254364014"
"apricot-sweep-437","finished","2025-06-25T14:56:22.000Z","851","1jpj8b17","8","0.30220971267437235","40","[256,256,1]","0.0004780751256013633","0.0013322416250528587","","","","","","","","","","","","","","","","","","segmentation","24","1.1548651456832886","0.5429499745368958","34","0.3749794363975525","1.1588231325149536","0.546366274356842","0.3779217004776001","1.1524008512496948","0.5254238247871399","0.35798904299736023","1.1615309715270996"
"hopeful-sweep-436","finished","2025-06-25T14:42:23.000Z","833","1jpj8b17","4","0.11317138326347448","40","[256,256,1]","0.0007542300017404136","0.0023133419240212614","","","","","","","","","","","","","","","","","","segmentation","26","1.1646603345870972","0.5336827635765076","36","0.3690067529678345","1.1691075563430786","0.5411252379417419","0.3755640983581543","1.1600604057312012","0.5224328637123108","0.3575783967971802","1.1687488555908203"
"magic-sweep-435","finished","2025-06-25T14:27:26.000Z","892","1jpj8b17","8","0.10875132351670308","40","[256,256,1]","0.0008854722766000111","0.007800293408498205","","","","","","","","","","","","","","","","","","segmentation","29","1.1588860750198364","0.541628897190094","39","0.3735617995262146","1.163563847541809","0.5444889068603516","0.3761277496814728","1.1555593013763428","0.531083881855011","0.3632887303829193","1.1613575220108032"
"fragrant-sweep-434","finished","2025-06-25T14:15:16.000Z","725","1jpj8b17","4","0.4977025947274135","40","[256,256,1]","0.0008643435893628006","0.006314405150753996","","","","","","","","","","","","","","","","","","segmentation","7","1.183632254600525","0.5258002281188965","17","0.36105525493621826","1.18684184551239","0.5323501825332642","0.36723029613494873","1.1778303384780884","0.5228216648101807","0.3582848310470581","1.1840935945510864"
"lively-sweep-433","finished","2025-06-25T13:59:47.000Z","924","1jpj8b17","16","0.19361653122354433","40","[256,256,1]","0.00021401599787393695","0.0013193442353007878","","","","","","","","","","","","","","","","","","segmentation","38","1.1510637998580933","0.5469540357589722","39","0.37767645716667175","1.154183030128479","0.5432774424552917","0.3738146722316742","1.1498664617538452","0.5349454879760742","0.3666137158870697","1.1522059440612793"
"absurd-sweep-432","finished","2025-06-25T13:48:19.000Z","685","1jpj8b17","8","0.3383379247159988","40","[256,256,1]","0.0004690837017621869","0.008527547116451538","","","","","","","","","","","","","","","","","","segmentation","2","1.158552646636963","0.540309488773346","12","0.3725509345531464","1.1651381254196167","0.5421057939529419","0.37383314967155457","1.1559144258499146","0.5385436415672302","0.37035807967185974","1.159965991973877"
"clean-sweep-431","finished","2025-06-25T13:35:31.000Z","763","1jpj8b17","4","0.23734108288442368","40","[256,256,1]","0.00016400162294188112","0.008597598230275586","","","","","","","","","","","","","","","","","","segmentation","12","1.1837012767791748","0.5265940427780151","22","0.36209675669670105","1.1874185800552368","0.5306158065795898","0.3655562102794647","1.1780251264572144","0.5194300413131714","0.3550548255443573","1.1848130226135254"
"peach-sweep-430","finished","2025-06-25T13:19:11.000Z","977","1jpj8b17","16","0.1671173246895267","40","[256,256,1]","0.000027800632184008614","0.0003863340442923604","","","","","","","","","","","","","","","","","","segmentation","33","1.1009433269500732","0.5677623152732849","39","0.3974930346012115","1.1108031272888184","0.5689432621002197","0.39847415685653687","1.1010398864746094","0.5608794093132019","0.391438752412796","1.1019517183303833"
"flowing-sweep-429","finished","2025-06-25T13:07:44.000Z","681","1jpj8b17","8","0.3759438801808072","40","[256,256,1]","0.0009033257070215368","0.006198035759583247","","","","","","","","","","","","","","","","","","segmentation","1","1.1590439081192017","0.5408636927604675","11","0.37281322479248047","1.16348135471344","0.5459300875663757","0.37752804160118103","1.1548439264297483","0.531907856464386","0.36408382654190063","1.160714864730835"
"genial-sweep-428","finished","2025-06-25T12:53:50.000Z","830","1jpj8b17","4","0.375993436875806","40","[256,256,1]","0.0001879817292012386","0.004571218519474063","","","","","","","","","","","","","","","","","","segmentation","20","1.161274552345276","0.5376456379890442","30","0.37197497487068176","1.165902853012085","0.5401045680046082","0.3745332360267639","1.158309817314148","0.526327908039093","0.3612101674079895","1.1648744344711304"
"honest-sweep-427","finished","2025-06-25T12:36:57.000Z","1007","1jpj8b17","16","0.13582656440102958","40","[256,256,1]","0.00021664982355827487","0.0001441075088581522","","","","","","","","","","","","","","","","","","segmentation","39","1.1087437868118286","0.5669701099395752","39","0.39683103561401367","1.1173750162124634","0.5798355340957642","0.4093050956726074","1.1059108972549438","0.5725354552268982","0.4028598070144654","1.1087437868118286"
