,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
0,0.6781522035598755,0.5763333439826965,0.5541371703147888,0.36000001430511475,0.03640776872634888,0.6624715924263,0.5885486006736755,0.6111562848091125,0.0,0.0
1,0.6382148265838623,0.6029999852180481,0.6692032814025879,0.559366762638092,0.17152103781700134,0.6356074810028076,0.6205059885978699,0.6718907356262207,0.533707857131958,0.6148867607116699
2,0.60014408826828,0.6679999828338623,0.7250922322273254,0.612994372844696,0.5266990065574646,0.6367418766021729,0.6098535060882568,0.6933034658432007,0.551948070526123,0.27508091926574707
3,0.5610367655754089,0.6903333067893982,0.7724044322967529,0.6444026231765747,0.5542071461677551,0.5974417924880981,0.6671105027198792,0.7198268175125122,0.6299559473991394,0.46278315782546997
4,0.511652946472168,0.7293333411216736,0.8222667574882507,0.693078339099884,0.6156957745552063,0.5970757007598877,0.6524633765220642,0.7311243414878845,0.6290322542190552,0.3786407709121704
5,0.4686916768550873,0.7760000228881836,0.8624330163002014,0.7478031516075134,0.688511312007904,0.6513774991035461,0.6551265120506287,0.7314866781234741,0.6288659572601318,0.39482200145721436
6,0.4182361960411072,0.812666654586792,0.895423948764801,0.7855932116508484,0.75,0.5962069034576416,0.6817576289176941,0.75764399766922,0.5925925970077515,0.7249190807342529
7,0.3754042983055115,0.843666672706604,0.9212220311164856,0.8236286640167236,0.7896440029144287,0.5777966380119324,0.7083888053894043,0.7699044346809387,0.6530612111091614,0.6213592290878296
8,0.31863781809806824,0.8683333396911621,0.9459025263786316,0.848962664604187,0.8276699185371399,0.587856113910675,0.7017310261726379,0.7715078592300415,0.6556776762008667,0.5792880058288574
9,0.27162986993789673,0.890666663646698,0.9633042216300964,0.871522068977356,0.8616504669189453,0.6337714791297913,0.7017310261726379,0.7782109379768372,0.6450511813163757,0.6116504669189453
10,0.23670147359371185,0.9146666526794434,0.9731137156486511,0.8932584524154663,0.9004854559898376,0.6162917017936707,0.7150465846061707,0.7847639918327332,0.6507936716079712,0.663430392742157
11,0.20003661513328552,0.9326666593551636,0.9824920892715454,0.9169355034828186,0.9199029207229614,0.6361051201820374,0.7097203731536865,0.7743121385574341,0.6482084393501282,0.6440129280090332
12,0.16056476533412933,0.9493333101272583,0.9895576238632202,0.9329073429107666,0.9449838399887085,0.6935209631919861,0.7017310261726379,0.7792982459068298,0.6340693831443787,0.6504854559898376
