Name,architecture,lr_scheduler,calibration_method,dropout_rate,val/acc,val/auc,val/cls_confmat_00,val/cls_confmat_01,val/cls_confmat_10,val/cls_confmat_11,val/dice,val/iou,val/multi,val/loss,val/auc
glamorous-sweep-8,densenet,warmcos,youden,,0.760213143872114,0.852054901552245,264,67,68,164,,,,0.751944967442089,0.852054901552245
zesty-sweep-1,densenet,cosine,youden,,0.754884547069272,0.850622460672987,256,75,63,169,,,,0.615986300839318,0.850622460672987
easy-sweep-21,densenet,warmcos,rate_match,,0.765541740674956,0.849411397020523,271,60,72,160,,,,0.76116547981898,0.849411397020523
robust-sweep-10,densenet,warmcos,f1,,0.763765541740675,0.848864465048443,267,64,69,163,,,,0.786559181080924,0.848864465048443
pleasant-sweep-14,densenet,plateau,rate_match,,0.781527531083481,0.84377278883217,270,61,62,170,,,,0.534002007709609,0.84377278883217
misunderstood-sweep-3,densenet,plateau,youden,,0.756660746003552,0.842991457443484,271,60,77,155,,,,0.538358093963729,0.842991457443484
skilled-sweep-2,densenet,none,f1,,0.74955595026643,0.833875924575477,249,82,59,173,,,,0.646966718965107,0.833875924575477
confused-sweep-5,densenet,cosine,rate_match,,0.753108348134991,0.82947442441921,261,70,69,163,,,,0.773755058646202,0.82947442441921
sandy-sweep-2,densenet,cosine,f1,0.196567125686653,0.731793960923624,0.825190123971247,259,72,79,153,,,,0.737820035881466,0.825190123971247
apricot-sweep-18,densenet,plateau,f1,,0.726465364120782,0.821752265861027,226,105,49,183,,,,0.529247085253398,0.821752265861027
super-sweep-23,densenet,none,youden,,0.719360568383659,0.808430565683926,243,88,70,162,,,,0.936393949720595,0.808430565683926
breezy-sweep-2,densenet,cosine,rate_match,0.182912067310217,0.730017761989343,0.806880925096364,260,71,81,151,,,,0.755688314636548,0.806880925096364
rare-sweep-4,mtlunet,none,rate_match,0.180025857932197,0.685053380782918,0.775454153097658,226,105,72,159,0.487517713668598,0.475623159435241,0.588295467468769,0.802581800354852,0.775454153097658
major-sweep-1,mtlunet,cosine,youden,0.210766314415532,0.702846975088968,0.775153346150325,241,90,77,154,0.487529039536697,0.475628311864584,0.588197546851467,1.35235301653544,0.775153346150325
expert-sweep-17,vit,cosine,bal_acc,0.219530283095105,0.683836589698046,0.76647307011147,205,126,52,180,,,,0.581091983450784,0.76647307011147
avid-sweep-1,mtlunet,warmcos,f1,0.227120560262171,0.697508896797153,0.765318266828841,223,108,62,169,0.487507706259589,0.475618955683855,0.584741402458827,0.902022179630068,0.765318266828841
balmy-sweep-2,mtlunet,none,youden,0.212572935911566,0.701067615658363,0.762087861785747,198,133,44,187,0.487891667857508,0.475702775099241,0.556440716339568,0.766471922397614,0.762087861785747
splendid-sweep-3,mtlunet,warmcos,rate_match,0.201295464743782,0.670818505338078,0.761983233282327,235,96,89,142,0.487505387923353,0.475617668334491,0.583572633798994,0.903543823295169,0.761983233282327
polished-sweep-5,mtlunet,cosine,youden,0.191369570017882,0.697508896797153,0.759498306326101,218,113,57,174,0.48750508826671,0.475617879346923,0.582702714587497,1.26897246307797,0.759498306326101
mild-sweep-14,vit,warmcos,f1,0.221853799199827,0.690941385435169,0.756367850817794,236,95,79,153,,,,0.632751605576939,0.756367850817794
dark-sweep-1,mtlunet,none,rate_match,0.219669262221094,0.676156583629893,0.755483187507357,235,96,86,145,0.487505074002998,0.475617852195431,0.581297413729524,0.921679324573941,0.755483187507357
azure-sweep-3,mtlunet,cosine,youden,0.215020447533805,0.685053380782918,0.754973123553184,214,117,60,171,0.488271562976071,0.475771964463424,0.58161710917806,1.3114784889751,0.754973123553184
dazzling-sweep-1,mtlunet,plateau,f1,0.206896569534571,0.690391459074733,0.752030446894495,182,149,32,199,0.487504039614627,0.475617446084888,0.553635641434594,1.28457299868266,0.752030446894495
comic-sweep-8,mtlunet,warmcos,youden,0.217760974506085,0.699288256227758,0.751729639947163,147,184,22,209,0.487634777128289,0.475661877207897,0.580067979114895,0.720382355981403,0.751729639947163
