"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","filters","kernel_size","learning_rate","method","metric.goal","metric.name","parameters.batch_sizes","parameters.dropout.distribution","parameters.dropout.max","parameters.dropout.min","parameters.epochs","parameters.filterss","parameters.kernel_sizes","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.rotation.distribution","parameters.rotation.max","parameters.rotation.min","parameters.translation.distribution","parameters.translation.max","parameters.translation.min","parameters.zoom.distribution","parameters.zoom.max","parameters.zoom.min","program","rotation","run_cap","translation","zoom","epoch/accuracy","epoch/auc","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/precision","epoch/recall","epoch/val_accuracy","epoch/val_auc","epoch/val_loss","epoch/val_precision","epoch/val_recall"
"true-sweep-50","finished","-","","","2025-06-13T11:35:36.000Z","4482","cqk4krib","32","0.42445989976730286","20","16","3","0.00037041917071353633","","","","","","","","","","","","","","","","","","","","","","","","0.0019289487265760077","","0.0978143474829152","0.1410635077763865","0.612333357334137","0.6464045643806458","19","0.00037041917676106095","0.6421211957931519","0.5489932894706726","0.3309061527252197","0.6218375563621521","0.676521897315979","0.6291282176971436","0.5555555820465088","0.40453073382377625"
"fragrant-sweep-49","finished","-","","","2025-06-13T10:21:03.000Z","4467","cqk4krib","32","0.02060887668299116","20","32","3","0.000769854560393956","","","","","","","","","","","","","","","","","","","","","","","","0.13750055058599117","","0.192193551115756","0.06874244897228876","0.6039999723434448","0.6152329444885254","19","0.0007698545814491808","0.660517156124115","0.5540540814399719","0.1990291327238083","0.580559253692627","0.5905563235282898","0.6795346140861511","0.48275861144065857","0.27184465527534485"
"fluent-sweep-48","finished","-","","","2025-06-13T09:06:01.000Z","4497","cqk4krib","8","0.01588134869135649","20","32","5","0.00008744560642152933","","","","","","","","","","","","","","","","","","","","","","","","0.01089173713688374","","0.001760361088657203","0.17330632316710695","0.6579999923706055","0.7124609351158142","19","0.00008744560909690335","0.6067391037940979","0.617977499961853","0.4449838101863861","0.6750998497009277","0.7205845713615417","0.6072119474411011","0.6058632135391235","0.6019417643547058"
"blooming-sweep-47","finished","-","","","2025-06-13T08:42:54.000Z","1371","cqk4krib","8","0.11710387873929796","20","32","3","0.0009428157028712412","","","","","","","","","","","","","","","","","","","","","","","","0.14892619884909525","","0.14891519234542697","0.009786265373703107","0.5929999947547913","0.5746232867240906","5","0.0009428156772628428","0.6713612675666809","0.5219941139221191","0.1440129429101944","0.5592543482780457","0.5293787717819214","0.6913713812828064","0.419117659330368","0.18446601927280423"
"easy-sweep-46","finished","-","","","2025-06-13T08:16:19.000Z","1590","cqk4krib","8","0.20478114217108795","20","32","3","0.0008857450444875837","","","","","","","","","","","","","","","","","","","","","","","","0.17108052455418776","","0.16682605397955974","0.11337845153599312","0.5933333039283752","0.5677107572555542","6","0.0008857450447976589","0.673302173614502","0.523952066898346","0.14158576726913452","0.5699067711830139","0.5454905033111572","0.6849076747894287","0.4485294222831726","0.1974110007286072"
"swept-sweep-45","finished","-","","","2025-06-13T07:20:00.000Z","3376","cqk4krib","8","0.05518992824350211","20","16","3","0.00004992947986541178","","","","","","","","","","","","","","","","","","","","","","","","0.11326621220592772","","0.04745574794247434","0.16922645640271056","0.6046666502952576","0.6238129734992981","14","0.00004992948015569709","0.6574010252952576","0.5469924807548523","0.23543688654899597","0.5992010831832886","0.5807560682296753","0.6741589307785034","0.5198019742965698","0.33980581164360046"
"polished-sweep-44","finished","-","","","2025-06-13T06:27:48.000Z","3125","cqk4krib","16","0.1051378829099462","20","32","5","0.0005786243394348544","","","","","","","","","","","","","","","","","","","","","","","","0.17911583848839496","","0.03612215476248293","0.17144588578116868","0.6086666584014893","0.5990089178085327","13","0.0005786243127658963","0.6645318865776062","0.5619999766349792","0.227346271276474","0.5872170329093933","0.5868514180183411","0.6680831909179688","0.4953271150588989","0.17152103781700134"
"eternal-sweep-43","finished","-","","","2025-06-13T05:57:21.000Z","1819","cqk4krib","8","0.22293574114324805","20","16","3","0.0007431505850517281","","","","","","","","","","","","","","","","","","","","","","","","0.0761061463400806","","0.019277205837680937","0.07019792253760891","0.6263333559036255","0.6420856714248657","7","0.0007431505946442485","0.6502793431282043","0.5753604173660278","0.35517799854278564","0.5898801684379578","0.6032084226608276","0.6781465411186218","0.5021833777427673","0.3721682727336883"
"sandy-sweep-42","finished","-","","","2025-06-13T05:30:40.000Z","1593","cqk4krib","32","0.38677618700205674","20","16","3","0.0004374848539978486","","","","","","","","","","","","","","","","","","","","","","","","0.047905936059690915","","0.16879810567857792","0.001773992056616525","0.6146666407585144","0.625457227230072","6","0.0004374848504085094","0.6559739708900452","0.5732600688934326","0.25323623418807983","0.5898801684379578","0.5820886492729187","0.6813708543777466","0.5019011497497559","0.42718446254730225"
"dulcet-sweep-40","finished","-","","","2025-06-13T04:12:28.000Z","4489","cqk4krib","8","0.3260520084754354","20","32","5","0.00024421506477241887","","","","","","","","","","","","","","","","","","","","","","","","0.09735860466444184","","0.06249607761319958","0.037794859437887074","0.6349999904632568","0.6847265362739563","19","0.0002442150725983083","0.6244859099388123","0.5742887258529663","0.4409385025501251","0.6418108940124512","0.6836678981781006","0.6325187087059021","0.5680271983146667","0.5404530763626099"
