,epochs,dropout,filters,batch_size,kernel_size,learning_rate,run_id,run_name,zoom,rotation,translation,optimizer,architecture
0,20,0.33395811061738284,64.0,32,5.0,4.0478249366915505e-05,h6zl7pfq,rural-sweep-1,,,,,
1,20,0.45068316261619024,32.0,32,3.0,0.0009400365761292976,luoi4yy0,rural-sweep-2,,,,,
2,20,0.4984168483874475,32.0,16,5.0,0.0006753237306437464,qkw419mm,gallant-sweep-1,0.021813147383552025,0.10056821405988307,0.012984721782780474,,
3,20,0.077266565064192,64.0,16,3.0,0.0003600170172214304,8bhkfi3c,vague-sweep-2,0.1106798623596232,0.1463106871881698,0.06915589354876657,,
4,20,0.11720081521578384,32.0,32,3.0,0.000240131453723318,cia3sivp,eager-sweep-3,0.11970279413272762,0.0694659240323399,0.056786854452639694,,
5,20,0.3956285973935127,64.0,32,3.0,0.00044389178353889227,tta3mcmk,cerulean-sweep-4,0.009895016204263052,0.14922147839628316,0.07873280030827788,,
6,20,0.43687614928168295,16.0,16,5.0,0.0009914183322224089,tizp9l1a,golden-sweep-5,0.11203892316346332,0.054266395094525355,0.09012046057618683,,
7,20,0.4401561943196489,32.0,16,3.0,3.92846187220018e-05,3bsl4632,stellar-sweep-6,0.03052203523363728,5.9270546609058174e-05,0.17550857586885868,,
8,20,0.3771938087054354,32.0,8,3.0,0.00030515461996868617,vptcbf5q,usual-sweep-7,0.07070718225364785,0.15350378801404643,0.1421987559877271,,
9,20,0.2610984690951166,32.0,8,3.0,0.0009702360640910276,i65b8yh1,jumping-sweep-8,0.09088558314743056,0.1796411914735254,0.03045360954724141,,
10,20,0.32050503882088327,16.0,32,5.0,0.0006684098444023133,ly0h8pz9,playful-sweep-9,0.06905612283807816,0.03545728619753213,0.14924853408993552,,
11,20,0.4584878202233756,64.0,32,5.0,0.0004183633243116969,p27rilgw,radiant-sweep-10,0.13999964961366326,0.15663000772473917,0.06195793635176916,,
12,20,0.35554392189558925,64.0,16,3.0,0.00017828675897087806,rgtmf6qm,mild-sweep-11,0.0001851625045819372,0.13413492959746054,0.078901472190856,,
13,20,0.4582585711557128,64.0,16,5.0,0.0009013773405463732,r79x88q1,giddy-sweep-12,0.059065125656328515,0.09120040985067164,0.08472335460246941,,
14,20,0.4501529634105996,16.0,8,3.0,0.0009646480309801304,1jke0bhf,stellar-sweep-13,0.1132613208615314,0.1507387772765232,0.030054171761718075,,
15,20,0.3416443333749143,16.0,32,5.0,0.00011024870586841288,qcp9jybj,glamorous-sweep-14,0.18671771657294833,0.06337878010936655,0.028481413728425012,,
16,20,0.3886570100026499,32.0,32,3.0,0.00034751764033296074,6uztz0hi,wobbly-sweep-15,0.1827193151754526,0.1732336081074437,0.03812606094560558,,
17,20,0.21861763669822837,16.0,8,3.0,0.000905514726414048,9ue8d1hg,unique-sweep-16,0.12486275383962107,0.06939573330984916,0.1845216876856042,,
18,20,0.19352767181132485,64.0,32,5.0,0.0006185576328937994,2gmxrwon,denim-sweep-17,0.161675017197916,0.06275177573512357,0.04916755366316106,,
19,20,0.10893184833884534,32.0,8,5.0,0.0001948308930700955,vthrx285,fiery-sweep-18,0.1955299352799258,0.12374868827511616,0.17937613276604158,,
20,20,0.054591528407242185,16.0,16,3.0,0.00032781477295078774,nfwtiixe,eager-sweep-19,0.10862766409295724,0.09442125482178686,0.09269355509251873,,
21,20,0.25608436473527924,64.0,16,5.0,0.0007097256407176489,b9wn6tp6,peachy-sweep-20,0.1907659988812153,0.09251762476223416,0.16188044623039188,,
22,20,0.19903460530703032,16.0,8,5.0,0.0009817216446310884,59e29ago,fancy-sweep-21,0.19636719825923765,0.14432599711999758,0.1757813823882299,,
23,20,0.3517776550392523,32.0,16,5.0,2.0969076419628043e-05,y3g4wrdg,wandering-sweep-22,0.0264412237586382,0.13573374453677428,0.13088537471961434,,
24,20,0.48237993597827106,16.0,8,5.0,0.0007662347694103723,ru1q9a5w,gentle-sweep-23,0.18873981193075673,0.05623238797906445,0.1390658199273986,,
25,20,0.15022992228862314,32.0,16,3.0,0.000671797175709636,dkwff6hx,earthy-sweep-24,0.12719162744780796,0.07882844717499582,0.10859113670887025,,
